Id;NeckLength;NeckSize;ShoulderHeight;ShoulderWidth;ChestMeasurement;WaistSize;ArmSize;ThighSize;CalfSize;LegLength;ArmLength;SkinColour;HeadLength;HeadWidth;HeadDepth;FaceHeight;FaceSize;UpperEyelidType;BottomEyelidType;EyeHeight;HorizontalEyePosition;IrisColour;PupilSize;UpperEyelidHt.(Inner);UpperEyelidWd.(Inner);UpperEyelidHt.(Outer);UpperEyelidWd.(Outer);InnerEyeHeight;InnerEyePosition;EyeCornerHeight;OuterEyePosition;BottomEyelidHeight;EyeDepth;Forehead;EyebrowType;EyebrowThickness;EyebrowStyle;EyebrowDensity;EyebrowColourR;EyebrowColourG;EyebrowColourB;InnerEyebrowHeight;BrowWidth;OuterEdyebrowHeight;TempleWidth;EyebrowDepth;NoseType;LaughterLines;NoseHeight;NostrilWidth;NoseWidth;NoseTipDepth;NoseDepth;UpperLipType;LowerLipType;MouthPosition;LipSize;LipWidth;MouthCornerHeight;MouthDepth;FacialHairType;FacialHairColourR;FacialHairColourG;FacialHairColourB;Thickness;CheekType;NeckLineType;Cheekbones;ChinHeight;ChinWidth;JawHeight;Jawline;ChinDepth;EarLength;EarWidth;EarAngle;Overall-Style;Overall-Length;Overall-WaveLevel;Overall-HairVariation;Font-Style;Font-Parted;Font-Hairline;Font-ForeheadWidth;Side/Back-Style;Side/Back-Cropped;HairColourR;HairColourG;HairColourB;AccessoryColour;HairColour;Accessories;Wristtaping;WristTapeColour1;WristTapeColour2;AnkleTaping;PlayerGloves;Colour;Undershorts;Sleeves;Shirttail;SockLength;Long-SleevedInners;ValueAp1;ValueAp2;ValueAp3;ValueAp4;ValueAp5;ValueAp6;ValueAp7;ValueAp8;ValueAp9;ValueAp10;ValueAp11;ValueAp12;ValueAp13;ValueAp14;ValueAp15;ValueAp16;ValueAp17;ValueAp18;ValueAp19;IdFace;Boots;Gloves;EditFace;EditHair;EditPhysique;EditStrip;ValueA
127069;-1;-2;-2;2;-1;-1;0;0;-1;4;0;5;-2;-2;-2;4;4;6;5;-2;-2;1;4;-1;3;-1;-3;-1;2;-3;4;4;5;7;2;1;1;3;5;4;3;-1;-2;3;4;1;5;1;3;3;1;1;3;4;2;4;4;-3;-2;3;17;5;4;3;2;2;1;5;0;-5;1;3;5;-3;6;3;1;2;5;1;2;1;1;2;1;1;8;5;3;2;6;False;0;0;0;0;0;1;0;0;1;0;1;0;10;7;12;7;7;8;7;7;7;7;10;0;0;1;0;0;0;0;0;0;0;False;False;False;False;0
142252;-2;0;-3;0;-1;-1;0;0;0;0;-1;3;-3;-3;0;7;-7;7;6;0;0;2;0;-1;-7;-2;-7;2;3;-1;-7;0;7;3;4;0;1;3;8;5;3;1;1;5;-4;-7;2;2;0;-2;1;-7;-2;2;2;0;2;2;-3;2;1;8;5;3;0;1;1;0;0;-2;1;0;-7;0;3;-3;4;3;1;1;1;1;1;1;4;1;15;8;4;2;8;False;0;0;0;0;0;2;0;0;1;1;1;0;7;7;7;7;7;0;7;7;7;7;9;0;0;1;0;0;0;0;0;0;0;False;False;False;False;0
140768;-1;3;2;1;-1;-2;-1;0;-2;4;1;3;-1;0;-1;-6;2;6;2;7;-5;2;1;5;0;4;-4;-2;-2;0;-3;-6;7;2;2;0;1;2;8;5;3;2;4;-1;0;1;1;2;1;2;2;-1;1;2;2;7;3;6;2;4;17;8;5;3;0;1;3;0;5;5;4;0;-3;-3;-1;4;2;4;6;18;1;1;1;2;4;2;8;5;3;2;6;False;2;1;1;0;0;2;0;0;1;0;1;0;7;7;7;7;7;8;7;7;7;7;11;0;0;1;0;0;0;0;0;0;0;False;False;False;False;0
57123;-3;0;-3;6;0;1;3;4;2;1;-4;3;1;1;1;-2;3;6;1;2;-4;1;7;3;3;-3;4;3;-1;1;0;1;6;1;2;0;1;3;5;4;3;-7;-3;0;-2;-1;4;1;-1;0;0;1;3;2;2;1;-5;0;0;-2;8;5;4;3;3;3;1;-5;1;-4;0;-7;-3;1;3;1;2;3;7;0;3;1;3;2;1;1;5;4;3;2;4;False;0;0;0;1;1;2;0;2;1;0;1;0;7;7;4;7;9;9;4;5;14;2;10;0;0;1;0;1;0;0;0;0;0;False;False;False;False;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
146650;0;0;2;0;-1;0;1;0;0;0;-1;1;3;3;1;-7;0;4;2;4;0;1;7;0;0;0;0;0;-6;0;0;0;0;2;3;1;0;3;8;5;3;-2;0;-4;4;0;8;1;3;0;0;-4;0;4;2;6;5;6;-2;6;0;8;5;3;3;2;3;0;0;0;0;3;0;7;0;3;1;2;1;1;2;1;1;1;4;2;18;14;10;2;2;False;0;0;0;0;0;2;0;0;1;0;0;0;10;7;7;7;7;7;7;7;7;7;13;0;0;1;0;0;0;0;0;0;0;False;False;False;False;0
16474;-4;0;3;1;-5;-5;-3;-1;-2;-2;-4;1;0;0;0;-2;4;8;2;-3;-4;1;4;0;-3;1;-7;-3;-1;1;-2;-2;7;1;5;0;1;2;5;4;3;-1;1;3;-4;1;8;1;-2;-2;2;-7;-5;4;2;1;1;-7;-5;1;0;5;4;3;0;1;1;5;0;5;4;-2;-6;0;3;1;2;3;2;1;2;3;1;1;2;1;5;4;3;2;4;False;0;0;0;0;0;1;1;0;1;0;2;0;5;7;12;7;5;8;1;5;8;3;8;0;0;1;0;0;0;0;0;0;0;False;False;False;False;0
104337;1;2;-3;3;-2;-3;2;1;-2;4;-1;5;1;0;1;4;-1;3;2;4;-1;1;0;2;3;-4;1;2;-3;-1;3;0;6;6;4;2;1;3;5;4;3;-6;-4;-2;2;-1;6;1;-2;0;1;2;2;3;2;2;0;-2;0;1;0;5;4;3;0;2;3;-4;0;-5;1;-7;-3;0;4;-2;0;1;4;0;0;0;1;2;4;2;5;4;3;2;4;False;0;0;0;0;0;2;0;0;1;0;1;0;7;7;4;7;9;9;0;8;14;3;10;0;0;1;0;0;0;0;0;0;0;False;False;False;False;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
132869;0;0;2;0;-1;0;0;0;0;0;-1;2;2;3;2;2;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;3;8;5;3;0;0;0;0;0;1;1;0;-4;0;0;0;2;2;3;-4;0;0;0;0;8;5;3;3;1;2;0;2;5;0;0;0;0;1;1;1;3;1;1;2;1;1;1;4;1;8;5;3;2;6;False;0;0;0;0;0;2;0;0;1;1;1;0;7;7;7;7;7;7;7;7;7;7;7;0;0;1;0;0;0;0;0;0;0;False;False;False;False;0
145589;-1;0;-3;0;-1;-1;0;0;-1;4;0;3;0;0;-1;3;-3;7;4;0;0;2;0;-2;-7;-2;-7;2;2;0;-3;0;7;3;2;1;1;3;8;5;3;0;0;0;0;-7;6;2;0;0;-6;-7;-7;4;3;0;2;0;-2;3;0;8;5;3;3;1;1;0;2;4;3;-7;-7;0;0;1;7;5;1;20;3;1;1;3;1;1;8;5;3;2;6;True;0;0;0;0;0;2;0;0;1;0;1;0;0;7;7;7;7;0;7;7;7;7;10;0;0;1;0;0;0;0;0;0;0;False;False;False;False;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63474;0;3;-1;1;0;-3;-1;0;-1;1;0;1;4;4;4;6;-1;3;1;3;-1;7;1;1;7;-5;4;-3;-4;-5;6;1;6;1;1;2;2;3;8;5;3;-6;-3;-2;5;-1;5;1;-2;1;5;0;2;2;2;3;-6;-2;0;2;1;8;5;3;1;2;1;1;2;-5;0;-4;1;-5;1;5;2;3;2;0;1;1;1;2;3;1;8;5;3;2;6;False;0;0;0;1;0;1;3;0;1;0;1;0;0;11;4;7;9;10;0;5;14;3;4;0;0;1;0;0;0;0;0;0;0;False;False;False;False;0
107693;-2;0;0;0;-1;-1;-1;0;-1;0;0;1;1;1;2;-1;5;1;6;4;0;5;3;-2;3;-2;-7;-2;5;-5;-3;-5;3;1;1;0;0;2;14;10;7;-5;4;-2;5;1;1;1;1;0;0;0;0;2;2;0;-3;-4;0;1;0;14;10;7;0;1;3;-2;1;-3;3;-7;-4;-2;2;0;1;4;2;0;1;2;1;2;4;2;14;10;7;2;1;False;0;0;0;0;0;2;0;2;1;0;0;0;2;8;0;6;3;5;2;2;14;8;5;0;0;0;0;0;0;0;0;0;0;False;False;False;False;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
122012;0;1;0;-1;-1;-2;-1;0;-2;4;1;4;1;2;2;-6;-2;6;2;-2;0;2;0;-3;-7;-6;0;0;0;0;2;4;7;5;2;0;1;3;8;5;3;0;-3;3;0;-7;5;2;2;0;0;-7;-7;3;3;7;3;7;0;2;0;8;5;3;3;1;2;0;4;-3;-1;3;-7;1;4;4;1;1;3;1;1;1;1;1;1;2;8;5;3;2;6;False;0;0;0;0;1;2;0;0;1;0;1;0;10;7;7;7;7;0;7;7;7;7;9;0;0;1;0;0;0;0;0;0;0;False;False;False;False;0
133594;-3;5;2;1;-1;-1;0;0;-1;4;-1;6;3;3;3;-3;7;6;5;-3;-2;2;1;-2;-6;-1;2;-3;-4;5;-2;0;7;2;4;1;2;3;8;5;3;0;1;0;0;-7;2;2;0;2;-1;-7;-6;4;3;7;2;7;-2;2;1;8;5;3;0;4;1;0;1;-6;2;0;-7;0;6;-3;4;2;1;1;1;1;1;1;1;1;8;5;3;2;6;False;0;0;0;0;0;2;0;0;1;2;1;0;7;7;7;7;7;0;7;7;7;7;9;0;0;1;0;0;0;0;0;0;0;False;False;False;False;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
146461;0;0;0;0;0;0;0;0;0;0;0;1;2;0;-5;1;1;1;1;0;0;8;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;False;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;False;False;False;False;0
115079;-2;-2;0;0;-6;-2;-5;-6;-6;5;-3;5;-2;-2;-2;-5;7;7;4;1;0;1;0;3;0;1;0;0;-4;6;1;-3;7;1;1;1;1;3;8;5;3;-1;7;5;-6;-7;6;2;4;2;3;-7;-2;4;3;7;0;7;0;0;14;8;5;3;1;2;1;0;3;-7;-2;-3;-7;0;0;4;4;2;1;1;1;1;1;2;1;1;8;5;3;2;6;False;0;0;0;0;0;2;0;0;1;0;1;0;4;7;7;7;7;0;7;7;7;7;7;0;0;1;0;0;0;0;0;0;0;False;False;False;False;0
