ID_Pais: 1, Jugador: F. VERGARA, Pais: 	Afganistan
ID_Pais: 104, Jugador: M. ROMEO, Pais: Antigua y Barbuda
ID_Pais: 105, Jugador: J. JOHN, Pais: Aruba
ID_Pais: 107, Jugador: N. BLACKMAN, Pais: Barbados
ID_Pais: 109, Jugador: N. WELLS, Pais: Bermudas
ID_Pais: 110, Jugador: D. HENRY, Pais: Canadá
ID_Pais: 112, Jugador: C. MARTÍNEZ, Pais: Costa Rica
ID_Pais: 113, Jugador: ONEL HERNÁNDEZ, Pais: Cuba
ID_Pais: 115, Jugador: E. REYES, Pais: República Dominicana
ID_Pais: 116, Jugador: R. DOMÍNGUEZ, Pais: El Salvador
ID_Pais: 117, Jugador: O. NORBURN, Pais: Granada
ID_Pais: 119, Jugador: G. GORDILLO, Pais: Guatemala
ID_Pais: 120, Jugador: K. LAFRANCE, Pais: Haití
ID_Pais: 121, Jugador: J. CANALES, Pais: Honduras
ID_Pais: 122, Jugador: A. MARIAPPA, Pais: Jamaica
ID_Pais: 124, Jugador: J. CAMPOS, Pais: México
ID_Pais: 125, Jugador: D. DANIELS, Pais: Nicaragua
ID_Pais: 127, Jugador: J. MORENO, Pais: Panamá
ID_Pais: 128, Jugador: M. CAMARGO, Pais: Puerto Rico
ID_Pais: 130, Jugador: R. SAWYERS, Pais: San Cristóbal y Nieves
ID_Pais: 131, Jugador: J. DONACIEN, Pais: Santa Lucía
ID_Pais: 133, Jugador: D. YORKE, Pais: Trinidad y Tobago
ID_Pais: 135, Jugador: L. MALONEY, Pais: Estados Unidos
ID_Pais: 139, Jugador: T. CHERY, Pais: Surinam
ID_Pais: 140, Jugador: Q. MARTINUS, Pais: Curazao
ID_Pais: 144, Jugador: W. SAMUEL, Pais: Argentina
ID_Pais: 145, Jugador: V. ÁBREGO, Pais: Bolivia
ID_Pais: 146, Jugador: DIDA, Pais: Brasil
ID_Pais: 147, Jugador: M. SALAS, Pais: Chile
ID_Pais: 148, Jugador: S. CAICEDO, Pais: Colombia
ID_Pais: 149, Jugador: D. CASTILLO, Pais: Ecuador
ID_Pais: 150, Jugador: J. CHILAVERT, Pais: Paraguay
ID_Pais: 151, Jugador: J. FARFÁN, Pais: Perú
ID_Pais: 152, Jugador: P. MONTERO, Pais: Uruguay
ID_Pais: 153, Jugador: S. CÓRDOVA, Pais: Venezuela
ID_Pais: 159, Jugador: M. BRIGGS, Pais: Guyana
ID_Pais: 162, Jugador: R. KRUSE, Pais: Australia
ID_Pais: 165, Jugador: W. LAUTOA, Pais: Nueva Caledonia
ID_Pais: 166, Jugador: M. MCGLINCHEY, Pais: Nueva Zelanda
ID_Pais: 189, Jugador: O. HANIN, Pais: Israel
ID_Pais: 190, Jugador: A. TURAN, Pais: Turquía
ID_Pais: 191, Jugador: I. TUCI, Pais: Albania
ID_Pais: 192, Jugador: JOSEP GÓMES, Pais: Andorra
ID_Pais: 193, Jugador: G. RANOS, Pais: Armenia
ID_Pais: 194, Jugador: P. TSCHERNUTH, Pais: Austria
ID_Pais: 195, Jugador: R. SADYQOV, Pais: Azerbaiyán
ID_Pais: 196, Jugador: M. EBONG, Pais: Bielorrusia
ID_Pais: 197, Jugador: V. KOMPANY, Pais: Bélgica
ID_Pais: 198, Jugador: M. ĆAVAR, Pais: Bosnia y Herzegovina
ID_Pais: 199, Jugador: V. BOZHINOV, Pais: Bulgaria
ID_Pais: 200, Jugador: Z. BOBAN, Pais: Croacia
ID_Pais: 201, Jugador: D. PRINIOTAKIS, Pais: Chipre
ID_Pais: 202, Jugador: P. NEDVĚD, Pais: República Checa
ID_Pais: 203, Jugador: P. SCHMEICHEL, Pais: Dinamarca
ID_Pais: 204, Jugador: D. BECKHAM, Pais: Inglaterra
ID_Pais: 205, Jugador: R. KLAVAN, Pais: Estonia
ID_Pais: 206, Jugador: G. NIELSEN, Pais: Islas Feroe
ID_Pais: 207, Jugador: J. LITMANEN, Pais: Finlandia
ID_Pais: 208, Jugador: M. DESAILLY, Pais: Francia
ID_Pais: 209, Jugador: N. KACHAVARA, Pais: Georgia
ID_Pais: 210, Jugador: O. KAHN, Pais: Alemania
ID_Pais: 211, Jugador: S. KAPINO, Pais: Grecia
ID_Pais: 212, Jugador: K. VADÓCZ, Pais: Hungría
ID_Pais: 213, Jugador: H. EYJÓLFSSON, Pais: Islandia
ID_Pais: 214, Jugador: ROY KEANE, Pais: Irlanda
ID_Pais: 215, Jugador: F. TOLDO, Pais: Italia
ID_Pais: 216, Jugador: N. ERIĆ, Pais: Kazajistán
ID_Pais: 217, Jugador: V. MAKSIMENKO, Pais: Letonia
ID_Pais: 218, Jugador: MARTIN BÜCHEL, Pais: Liechtenstein
ID_Pais: 219, Jugador: G. ARLAUSKIS, Pais: Lituania
ID_Pais: 220, Jugador: M. OLESEN, Pais: Luxemburgo
ID_Pais: 221, Jugador: G. PANDEV, Pais: Macedonia del Norte
ID_Pais: 222, Jugador: J. HABER, Pais: Malta
ID_Pais: 223, Jugador: S. COJOCARI, Pais: Moldavia
ID_Pais: 224, Jugador: J. STAM, Pais: Países Bajos
ID_Pais: 225, Jugador: S. DAVIS, Pais: Irlanda del Norte
ID_Pais: 226, Jugador: P. SKJELBRED, Pais: Noruega
ID_Pais: 227, Jugador: A. BORUC, Pais: Polonia
ID_Pais: 228, Jugador: RUI COSTA, Pais: Portugal
ID_Pais: 229, Jugador: C. CHIVU, Pais: Rumania
ID_Pais: 230, Jugador: I. AKINFEEV, Pais: Rusia
ID_Pais: 231, Jugador: A. SIMONCINI, Pais: San Marino
ID_Pais: 232, Jugador: D. LAW, Pais: Escocia
ID_Pais: 234, Jugador: J. SUROVCIK, Pais: Eslovaquia
ID_Pais: 235, Jugador: S. HANDANOVIČ, Pais: Eslovenia
ID_Pais: 236, Jugador: I. CASILLAS, Pais: España
ID_Pais: 237, Jugador: Z. IBRAHIMOVIĆ, Pais: Suecia
ID_Pais: 238, Jugador: D. BENAGLIO, Pais: Suiza
ID_Pais: 239, Jugador: A. SHEVCHENKO, Pais: Ucrania
ID_Pais: 240, Jugador: O. AKHMEDOV, Pais: Uzbekistán
ID_Pais: 241, Jugador: R. GIGGS, Pais: Gales
ID_Pais: 245, Jugador: S. WISEMAN, Pais: Gibraltar
ID_Pais: 260, Jugador: FACE EDIT, Pais: (Genérico/Edición)
ID_Pais: 298, Jugador: T. CHOW, Pais: China Taipéi (Taiwán)
ID_Pais: 303, Jugador: S. MIHAJLOVIĆ, Pais: Serbia
ID_Pais: 304, Jugador: N. KRSTOVIĆ, Pais: Montenegro
ID_Pais: 311, Jugador: L. PAQARADA, Pais: Kosovo
ID_Pais: 312, Jugador: K. ATHIU, Pais: Sudán del Sur
```
